127.0.0.1 - - [18/Oct/2019:16:25:56 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Oct/2019:16:26:08 +0530] "GET /Ecommerce_Fd_ILT/ HTTP/1.1" 200 4425
0:0:0:0:0:0:0:1 - - [18/Oct/2019:16:26:08 +0530] "GET /Ecommerce_Fd_ILT/resources/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2019:16:26:08 +0530] "GET /Ecommerce_Fd_ILT/resources/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2019:16:26:08 +0530] "GET /Ecommerce_Fd_ILT/resources/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2019:16:26:08 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Oct/2019:16:26:33 +0530] "GET /Ecommerce_Fd_ILT/product HTTP/1.1" 200 5349
0:0:0:0:0:0:0:1 - - [18/Oct/2019:16:26:36 +0530] "GET /Ecommerce_Fd_ILT/category HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Oct/2019:16:26:44 +0530] "GET /Ecommerce_Fd_ILT/login HTTP/1.1" 200 3766
0:0:0:0:0:0:0:1 - - [18/Oct/2019:16:26:51 +0530] "GET /Ecommerce_Fd_ILT/category HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Oct/2019:16:27:01 +0530] "GET /Ecommerce_Fd_ILT/product HTTP/1.1" 200 5349
0:0:0:0:0:0:0:1 - - [18/Oct/2019:16:27:04 +0530] "GET /Ecommerce_Fd_ILT/category HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Oct/2019:16:27:55 +0530] "GET /Ecommerce_Fd_ILT/product HTTP/1.1" 200 5349
0:0:0:0:0:0:0:1 - - [18/Oct/2019:16:38:45 +0530] "GET /Ecommerce_Fd_ILT/category HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Oct/2019:16:39:49 +0530] "GET /Ecommerce_Fd_ILT/product HTTP/1.1" 200 5349
0:0:0:0:0:0:0:1 - - [18/Oct/2019:16:39:58 +0530] "GET /Ecommerce_Fd_ILT/login HTTP/1.1" 200 3766
0:0:0:0:0:0:0:1 - - [18/Oct/2019:16:40:49 +0530] "GET /Ecommerce_Fd_ILT/category HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Oct/2019:16:49:46 +0530] "GET /Ecommerce_Fd_ILT/category HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Oct/2019:16:49:54 +0530] "GET /Ecommerce_Fd_ILT/ HTTP/1.1" 200 4425
0:0:0:0:0:0:0:1 - - [18/Oct/2019:16:49:56 +0530] "GET /Ecommerce_Fd_ILT/ HTTP/1.1" 200 4425
0:0:0:0:0:0:0:1 - - [18/Oct/2019:16:49:57 +0530] "GET /Ecommerce_Fd_ILT/category HTTP/1.1" 404 992
